element_id,village_dir,media_id,frame_file,description_from_manifest,note
kuan_chadas_khel,34-gaon,fb_dharamveer_godara_photos,frames/01_well-trough-camels.jpg,Lime-plastered village well with a masonry cattle trough (khel) on a bare plain; a herd of camels and standing water behind,lime-plastered well + masonry cattle trough (khel); camels behind
kuan_chadas_khel,34-gaon,fb_dharamveer_godara_photos,frames/05_inside-the-well.jpg,"Looking down into the well: lime-stone masonry shaft, collapsed blocks and dry branches across the mouth","lime-stone masonry shaft, collapsed"
kuan_chadas_khel,berawala,berawala,frames/0348s_main-well-of-village.jpg,Masonry well of the village water system; subtitle 'Rest of the process was explained',main masonry well; 'rest of the process was explained'
kuan_chadas_khel,likhmisar,fb1459335058470001,frames/0005s.jpg,A small masonry structure (the old well with its platform) among trees near the pond,old well with platform near pond
kuan_chadas_khel,likhmisar,fb1459335058470001,frames/0014s.jpg,A herd of cattle and a green-painted water trough near the village site,green-painted water trough (khel) with cattle
kuan_chadas_khel,kanolai,tp0mVligrls,frames/1442s.jpg,Elders remembering at the well site; gestures and discussion,elders remembering at the well site
kuan_chadas_khel,khiyana,YGDc75dU39g,frames/0632s.jpg,Priest narrating: Karni Mata's dream and the overnight well,priest's legend: Karni Mata's dream and the overnight well
kuan_chadas_khel,khiyana,YGDc75dU39g,frames/0662s.jpg,"Priest narrating: the well dug by hand, water 'running black'","legend: well dug by hand, water 'running black'"
kund_tanka,berawala,berawala,frames/0288s_water-storage-tank-opening.jpg,Small water storage tank (tanka) opening in front of the house,tanka opening in front of the house
kund_tanka,berawala,berawala,frames/0312s_water-tank-opening-closeup.jpg,"Water tank opening, close-up",tanka opening close-up
kund_tanka,kanolai,tp0mVligrls,frames/1322s.jpg,Lime-plastered structure (old well or tanka) examined by elders,"lime-plastered structure, old well or tanka (unclear)"
kund_tanka,kanolai,tp0mVligrls,frames/0752s.jpg,Jaal tree hung with offerings; elders at the shrine; tanker-fed water tank behind,tanker-fed water tank at Pir Baba shrine (today's version)
kund_tanka,khiyana,YGDc75dU39g,frames/0512s.jpg,Vlogger at a masonry water structure near the temple,masonry water structure near Nathu Dada temple
kund_tanka,khiyana,YGDc75dU39g,frames/0932s.jpg,Water pump and tank: the lime-built pond of Nathu Dada's time being used,water pump and tank; 'lime-built pond of Nathu Dada's time' in use
johad,berawala,fb655816430875515,frames/0086s.jpg,Village pond full after rains with cattle drinking at the far shore,"Berawala pond full after rains, cattle drinking"
johad,berawala,fb745079231440066,frames/0002s.jpg,Herd of cows being driven along the shore of the Berawala pond by a herder; the pond full after rains,cows driven along pond shore
johad,berawala,berawala,frames/0372s_main-pond-of-village.jpg,Main pond of the village (label),main pond (label)
johad,berawala,berawala,frames/0408s_collecting-water-from-pond.jpg,Family member collecting water from the pond,family member collecting water from pond
johad,kanolai,fb1034283355871713,frames/0026s.jpg,"The village pond full after the rains, seen from under a jaal tree",Kanolai pond full after rains
johad,kumbhana,fb1795870261114842,frames/0002s.jpg,"Kumbhana's kachcha (earthen) johad at dusk: the earthen embankment, khejri trees, water in the distance; overlay '34 गाँव कुम्भाना का कच्चा जोहड़ा'","'कच्चा जोहड़ा' of Kumbhana: earthen embankment (pal), khejri"
johad,kumbhana,fb2262161430872727,frames/0002s.jpg,Kumbhana johad full of water; a flock of sheep and goats at the shore under a big jaal tree; Dinesh Beniwal gestures at the view; overlay '34 कुमाना गाँव का जोहड़ा',Kumbhana johad with sheep and goats under jaal tree
johad,likhmisar,fb1459335058470001,frames/0002s.jpg,"The Likhmisar johad with water; a cow drinking; overlay 'पुराना 34 गाँव लिखमीसर का जोहड़ा, कुआँ, मंदिर'","Likhmisar johad, cow drinking; overlay 'जोहड़ा, कुआँ, मंदिर'"
johad,thoiya,fb851985674182311,frames/0026s.jpg,"The Thoiya johad full of water, large jaal trees on the far bank, seen from the drone","Thoiya johad full of water, jaal trees (drone)"
johad,34-gaon,fb_dharamveer_godara_photos,frames/02_pond-camels-jaal-tree.jpg,"Village pond full of water, camels on the far shore, a large jaal tree at the water's edge, a broken mud wall in front","village pond, camels, jaal tree"
johad,34-gaon,fb1593074165754643,frames/0002s.jpg,Rainwater flowing across the sand of the 34-gaon area after a heavy shower; overlay asks viewers which was the largest of the 34 villages,rainwater flowing over sand after heavy shower (catchment/agor idea)
canal_new,berawala,berawala,frames/0036s_canal-on-the-way.jpg,Lined irrigation canal crossed on the way (Indira Gandhi canal system),lined IGNP canal on the way (the 'new water')
canal_new,berawala,berawala,frames/0044s_mustard-fields-on-the-way.jpg,Yellow mustard (sarson) fields on the drive,mustard fields in canal area
khejri,berawala,fb2884290418425839,frames/0006s.jpg,"Open plain of Berawala after monsoon: grass, khejri and jaal trees","plain after monsoon: grass, khejri and jaal"
khejri,kumbhana,fb1953976362088874,frames/0050s.jpg,"View from the fort over the old village land: scrub, khejri trees, low ruins to the horizon","view from fort: scrub, khejri"
khejri,motasar,fb1152422783491564,frames/0005s.jpg,Mud-wall stumps of houses under khejri trees; a crop planted between them,mud-wall stumps under khejri; crop between
khejri,thoiya,fb1325760895182496,frames/0007s.jpg,Khejri and jaal trees standing where the houses were; eroded floors and low mounds,khejri and jaal where houses were
khejri,thoiya,fb851985674182311,frames/0066s.jpg,Groves of khejri and jaal on the village land,groves of khejri and jaal (drone)
khejri,khanisar,fb866810769709842,frames/0002s.jpg,"Site of Khanisar village inside the range: undulating sand with grass after rains, khejri and jaal trees; overlay 'खानीसर: यह गांव 50-60 साल पहले था, सबसे पुराना गांव है'; watermark @RAJESH_SARSWAT001",village site with khejri and jaal after rains
phog,kanolai,tp0mVligrls,frames/0152s.jpg,"Sand track, khejri and phog scrub on the old village land","sand track, khejri and phog scrub on old village land"
jaal_pilu,likhmisar,fb1459335058470001,frames/0023s.jpg,A large jaal tree leaning over the water,large jaal leaning over the water
jaal_pilu,kanolai,fb1034283355871713,frames/0008s.jpg,"Big jaal trees on the green plain, cattle grazing in their shade","big jaal trees, cattle in shade"
jaal_pilu,kanolai,tp0mVligrls,frames/0542s.jpg,"Peer ji Maharaj shrine compound: whitewashed building, jaal tree hung with strings of offerings",jaal tree hung with offerings at Pir Baba shrine
jhumpa_house,berawala,fb2884290418425839,frames/0026s.jpg,Ground of the old village with circular traces (house floors) and low mounds; shrine at the edge,circular traces (house floors) - possibly round huts; needs elder confirmation
jhumpa_house,berawala,berawala,frames/0144s_nani-first-house-of-village.jpg,"Nani with granddaughter; subtitle 'This was the first house built in the village, this room'","'first house built in the village, this room'"
jhumpa_house,berawala,berawala,frames/0222s_house-built-by-grandfather.jpg,Mud-brick wall; label 'House built by my Grandfather',mud-brick wall: 'house built by my grandfather'
jhumpa_house,motasar,fb1152422783491564,frames/0017s.jpg,Ruined mud walls and mounds of Motasar; a family with women in red and pink and a white car visiting the site,ruined mud walls and mounds
jhumpa_house,thoiya,fb1325760895182496,frames/0002s.jpg,Rubble and mound of a collapsed kachcha house at Thoiya,rubble of collapsed kachcha house
jhumpa_house,khiyana,YGDc75dU39g,frames/0152s.jpg,"Aerial view of a living village with khejri trees and mud-plastered houses (near the range, likely Soolera)","aerial: living village with khejri and mud-plastered houses (near range, likely Soolera)"
dhani_bas,thoiya,fb1325760895182496,frames/0047s.jpg,"A mud wall stump beside a jaal tree, the 'panch bhaiyon ke ghar' (five brothers' houses) area",'panch bhaiyon ke ghar' (five brothers' houses) cluster
dhani_bas,thoiya,fb38721517480796315,frames/0032s.jpg,Two elders point across the plain towards where neighbours' houses and fields were; the jeep behind,elders point to where neighbours' houses and fields were
